type,rep,m,infections,norm,scale,color
mad02,1,0.9144,1,1,field,blue
mad02,1,1.524,0.198829067,0.198829067,field,blue
mad02,1,2.1336,0.093245857,0.093245857,field,blue
mad02,1,3.048,0.020396279,0.020396279,field,blue
mad02,1,4.572,0.006255377,0.006255377,field,blue
mad02,1,6.096,0.000692204,0.000692204,field,blue
mad02,1,9.144,0.000853984,0.000853984,field,blue
mad02,1,12.192,0.000184756,0.000184756,field,blue
mad02,1,18.288,0,0,field,blue
mad02,1,24.384,0,0,field,blue
mad02,1,30.48,0,0,field,blue
mad02,1,36.576,0,0,field,blue
mad02,1,42.672,0,0,field,blue
mad02,1,48.768,0,0,field,blue
mad02,1,54.864,0,0,field,blue
mad02,1,60.96,0,0,field,blue
mad02,1,67.056,0,0,field,blue
mad02,1,73.152,0,0,field,blue
mad02,1,79.248,0,0,field,blue
mad02,1,85.344,0,0,field,blue
mad02,2,0.9144,1,1,field,blue
mad02,2,1.524,0.492522872,0.492522872,field,blue
mad02,2,2.1336,0.279850285,0.279850285,field,blue
mad02,2,3.048,0.072779272,0.072779272,field,blue
mad02,2,4.572,0.035491979,0.035491979,field,blue
mad02,2,6.096,0.01834017,0.01834017,field,blue
mad02,2,9.144,0.004695437,0.004695437,field,blue
mad02,2,12.192,0.008788251,0.008788251,field,blue
mad02,2,18.288,0.004719516,0.004719516,field,blue
mad02,2,24.384,0.020809323,0.020809323,field,blue
mad02,2,30.48,0.002739005,0.002739005,field,blue
mad02,2,36.576,0.011169123,0.011169123,field,blue
mad02,2,42.672,0.004355636,0.004355636,field,blue
mad02,2,48.768,0.002900123,0.002900123,field,blue
mad02,2,54.864,0,0,field,blue
mad02,2,60.96,0.005378409,0.005378409,field,blue
mad02,2,67.056,0.00308138,0.00308138,field,blue
mad02,2,73.152,0,0,field,blue
mad02,2,79.248,0,0,field,blue
mad02,2,85.344,0,0,field,blue
mad02,3,0.9144,1,1,field,blue
mad02,3,1.524,0.313884506,0.313884506,field,blue
mad02,3,2.1336,0.097395122,0.097395122,field,blue
mad02,3,3.048,0.035867803,0.035867803,field,blue
mad02,3,4.572,0.009038103,0.009038103,field,blue
mad02,3,6.096,0.003205001,0.003205001,field,blue
mad02,3,9.144,0.000572378,0.000572378,field,blue
mad02,3,12.192,0,0,field,blue
mad02,3,18.288,0,0,field,blue
mad02,3,24.384,0.000291,0.000291,field,blue
mad02,3,30.48,0.000200062,0.000200062,field,blue
mad02,3,36.576,0.00012804,0.00012804,field,blue
mad02,3,42.672,0.000630312,0.000630312,field,blue
mad02,3,48.768,0.000125529,0.000125529,field,blue
mad02,3,54.864,0,0,field,blue
mad02,3,60.96,0,0,field,blue
mad02,3,67.056,0,0,field,blue
mad02,3,73.152,0,0,field,blue
mad02,3,79.248,0,0,field,blue
mad02,3,85.344,0,0,field,blue
mad03,4,0.9144,1,1,field,blue
mad03,4,1.524,0.410150096,0.410150096,field,blue
mad03,4,2.1336,0.247357946,0.247357946,field,blue
mad03,4,3.048,0.154121306,0.154121306,field,blue
mad03,4,4.572,0.132775034,0.132775034,field,blue
mad03,4,6.096,0.143872294,0.143872294,field,blue
mad03,4,9.144,0.026080436,0.026080436,field,blue
mad03,4,12.192,0,0,field,blue
mad03,4,18.288,0.013232713,0.013232713,field,blue
mad03,4,24.384,0.001960935,0.001960935,field,blue
mad03,4,30.48,0,0,field,blue
mad03,4,36.576,0,0,field,blue
